batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
512, 0, 1, 38, 1590992160.011, 1590992160.012, 1590992160.013, 1590992160.013, 1590992161.45, 1590992161.904, 1590992161.907, 1590992161.907, 1590992161.908, 1590992162.1
512, 0, 1, 39, 1590992160.626, 1590992160.734, 1590992160.735, 1590992160.735, 1590992162.267, 1590992162.366, 1590992162.38, 1590992162.38, 1590992162.381, 1590992162.555
512, 0, 1, 40, 1590992161.173, 1590992161.273, 1590992161.274, 1590992161.274, 1590992162.793, 1590992163.151, 1590992163.16, 1590992163.16, 1590992163.487, 1590992163.488
512, 0, 1, 41, 1590992162.1, 1590992162.1, 1590992162.101, 1590992162.11, 1590992163.491, 1590992163.882, 1590992163.887, 1590992163.887, 1590992163.887, 1590992164.08
512, 0, 1, 42, 1590992162.555, 1590992162.791, 1590992162.792, 1590992162.792, 1590992168.581, 1590992168.581, 1590992168.591, 1590992168.591, 1590992168.591, 1590992168.592
512, 0, 1, 43, 1590992163.488, 1590992163.49, 1590992163.49, 1590992163.49, 1590992169.148, 1590992169.41, 1590992169.416, 1590992169.416, 1590992169.417, 1590992169.417
512, 0, 1, 44, 1590992164.08, 1590992168.49, 1590992168.491, 1590992168.491, 1590992170.212, 1590992170.212, 1590992170.221, 1590992170.221, 1590992170.221, 1590992170.222
512, 0, 1, 45, 1590992168.592, 1590992168.91, 1590992168.91, 1590992168.911, 1590992170.697, 1590992170.941, 1590992170.947, 1590992170.947, 1590992171.226, 1590992171.255
512, 0, 1, 46, 1590992169.417, 1590992170.108, 1590992170.109, 1590992170.109, 1590992171.301, 1590992171.734, 1590992171.74, 1590992171.74, 1590992171.741, 1590992171.742
512, 0, 1, 47, 1590992170.222, 1590992170.52, 1590992170.521, 1590992170.521, 1590992172.107, 1590992172.39, 1590992172.396, 1590992172.396, 1590992172.396, 1590992172.559
512, 0, 1, 48, 1590992171.255, 1590992171.3, 1590992171.3, 1590992171.3, 1590992173.126, 1590992173.126, 1590992173.132, 1590992173.132, 1590992173.502, 1590992173.517
